transaction_id,transaction_date,customer_id,product_id,store_id,quantity,price_per_unit,total_amount
13,2023-08-05,CUST013,PROD015,STORE004,3,500,1500
27,2023-08-03,CUST027,PROD001,STORE003,2,25,50
29,2023-08-18,CUST029,PROD012,STORE005,1,30,30
35,2023-08-05,CUST035,PROD004,STORE001,3,300,900
50,2023-08-24,CUST050,PROD001,STORE001,3,25,75
73,2023-08-21,CUST073,PROD012,STORE004,3,30,90
92,2023-08-25,CUST092,PROD012,STORE003,4,30,120
116,2023-08-23,CUST116,PROD007,STORE002,1,30,30
125,2023-08-08,CUST125,PROD008,STORE001,2,50,100
140,2023-08-05,CUST140,PROD012,STORE001,1,30,30
146,2023-08-28,CUST146,PROD008,STORE002,4,50,200
160,2023-08-11,CUST160,PROD008,STORE001,2,50,100
162,2023-08-21,CUST162,PROD007,STORE003,2,30,60
206,2023-08-05,CUST206,PROD006,STORE002,1,25,25
217,2023-08-13,CUST217,PROD013,STORE003,4,50,200
219,2023-08-20,CUST219,PROD012,STORE005,3,30,90
251,2023-08-31,CUST251,PROD003,STORE002,4,50,200
253,2023-08-31,CUST253,PROD010,STORE004,4,500,2000
259,2023-08-09,CUST259,PROD008,STORE005,4,50,200
261,2023-08-05,CUST261,PROD006,STORE002,2,25,50
263,2023-08-28,CUST263,PROD002,STORE004,2,30,60
277,2023-08-18,CUST277,PROD006,STORE003,4,25,100
279,2023-08-05,CUST279,PROD010,STORE005,1,500,500
282,2023-08-25,CUST282,PROD013,STORE003,4,50,200
285,2023-08-15,CUST285,PROD011,STORE001,1,25,25
306,2023-08-21,CUST306,PROD013,STORE002,1,50,50
308,2023-08-05,CUST308,PROD004,STORE004,4,300,1200
347,2023-08-03,CUST347,PROD011,STORE003,1,25,25
364,2023-08-23,CUST364,PROD005,STORE005,1,500,500
368,2023-08-23,CUST368,PROD009,STORE004,4,300,1200
384,2023-08-13,CUST384,PROD010,STORE005,1,500,500
418,2023-08-05,CUST418,PROD015,STORE004,2,500,1000
427,2023-08-15,CUST427,PROD011,STORE003,1,25,25
430,2023-08-07,CUST430,PROD014,STORE001,3,300,900
443,2023-08-09,CUST443,PROD009,STORE004,2,300,600
476,2023-08-29,CUST476,PROD010,STORE002,4,500,2000
479,2023-08-24,CUST479,PROD014,STORE005,4,300,1200
508,2023-08-11,CUST508,PROD004,STORE004,2,300,600
511,2023-08-12,CUST511,PROD003,STORE002,2,50,100
