transaction_id,transaction_date,customer_id,product_id,store_id,quantity,price_per_unit,total_amount
2,2023-02-27,CUST002,PROD010,STORE003,2,500,1000
8,2023-02-22,CUST008,PROD011,STORE004,4,25,100
11,2023-02-14,CUST011,PROD008,STORE002,2,50,100
16,2023-02-17,CUST016,PROD010,STORE002,3,500,1500
41,2023-02-22,CUST041,PROD006,STORE002,2,25,50
42,2023-02-17,CUST042,PROD009,STORE003,3,300,900
44,2023-02-19,CUST044,PROD006,STORE005,1,25,25
54,2023-02-10,CUST054,PROD015,STORE005,3,500,1500
63,2023-02-05,CUST063,PROD011,STORE004,2,25,50
68,2023-02-10,CUST068,PROD014,STORE004,1,300,300
70,2023-02-21,CUST070,PROD009,STORE001,1,300,300
85,2023-02-06,CUST085,PROD008,STORE001,3,50,150
107,2023-02-03,CUST107,PROD009,STORE003,4,300,1200
133,2023-02-16,CUST133,PROD014,STORE004,3,300,900
135,2023-02-26,CUST135,PROD006,STORE001,2,25,50
142,2023-02-02,CUST142,PROD014,STORE003,4,300,1200
152,2023-02-28,CUST152,PROD015,STORE003,4,500,2000
158,2023-02-27,CUST158,PROD014,STORE004,2,300,600
168,2023-02-24,CUST168,PROD009,STORE004,1,300,300
185,2023-02-27,CUST185,PROD006,STORE001,1,25,25
192,2023-02-10,CUST192,PROD003,STORE003,2,50,100
193,2023-02-13,CUST193,PROD005,STORE004,3,500,1500
195,2023-02-05,CUST195,PROD007,STORE001,1,30,30
223,2023-02-02,CUST223,PROD006,STORE004,1,25,25
232,2023-02-06,CUST232,PROD001,STORE003,1,25,25
237,2023-02-04,CUST237,PROD005,STORE003,2,500,1000
240,2023-02-06,CUST240,PROD004,STORE001,1,300,300
256,2023-02-18,CUST256,PROD010,STORE002,2,500,1000
257,2023-02-19,CUST257,PROD005,STORE003,4,500,2000
268,2023-02-20,CUST268,PROD012,STORE004,1,30,30
269,2023-02-01,CUST269,PROD010,STORE005,4,500,2000
272,2023-02-25,CUST272,PROD013,STORE003,2,50,100
284,2023-02-08,CUST284,PROD008,STORE005,4,50,200
287,2023-02-20,CUST287,PROD006,STORE003,4,25,100
292,2023-02-17,CUST292,PROD004,STORE003,4,300,1200
320,2023-02-01,CUST320,PROD014,STORE001,4,300,1200
331,2023-02-11,CUST331,PROD012,STORE002,3,30,90
333,2023-02-05,CUST333,PROD014,STORE004,4,300,1200
335,2023-02-04,CUST335,PROD002,STORE001,4,30,120
346,2023-02-11,CUST346,PROD010,STORE002,2,500,1000
366,2023-02-07,CUST366,PROD008,STORE002,2,50,100
371,2023-02-21,CUST371,PROD001,STORE002,1,25,25
372,2023-02-07,CUST372,PROD005,STORE003,3,500,1500
379,2023-02-05,CUST379,PROD006,STORE005,1,25,25
396,2023-02-23,CUST396,PROD002,STORE002,1,30,30
400,2023-02-24,CUST400,PROD008,STORE001,4,50,200
416,2023-02-17,CUST416,PROD015,STORE002,4,500,2000
433,2023-02-27,CUST433,PROD003,STORE004,4,50,200
434,2023-02-08,CUST434,PROD011,STORE005,2,25,50
454,2023-02-22,CUST454,PROD001,STORE005,1,25,25
473,2023-02-25,CUST473,PROD003,STORE004,1,50,50
490,2023-02-05,CUST490,PROD008,STORE001,3,50,150
506,2023-02-25,CUST506,PROD005,STORE002,3,500,1500
530,2023-02-05,CUST530,PROD012,STORE001,4,30,120
577,2023-02-13,CUST577,PROD005,STORE003,4,500,2000
584,2023-02-17,CUST584,PROD003,STORE005,4,50,200
596,2023-02-07,CUST596,PROD014,STORE002,1,300,300
611,2023-02-24,CUST611,PROD005,STORE002,3,500,1500
649,2023-02-09,CUST649,PROD009,STORE005,2,300,600
657,2023-02-11,CUST657,PROD006,STORE003,1,25,25
666,2023-02-02,CUST666,PROD013,STORE002,3,50,150
673,2023-02-01,CUST673,PROD010,STORE004,3,500,1500
714,2023-02-12,CUST714,PROD010,STORE005,1,500,500
732,2023-02-11,CUST732,PROD015,STORE003,2,500,1000
740,2023-02-05,CUST740,PROD003,STORE001,4,50,200
753,2023-02-28,CUST753,PROD007,STORE004,1,30,30
763,2023-02-28,CUST763,PROD006,STORE004,2,25,50
766,2023-02-25,CUST766,PROD014,STORE002,3,300,900
775,2023-02-08,CUST775,PROD011,STORE001,4,25,100
780,2023-02-22,CUST780,PROD011,STORE001,2,25,50
793,2023-02-05,CUST793,PROD002,STORE004,1,30,30
800,2023-02-24,CUST800,PROD009,STORE001,4,300,1200
821,2023-02-14,CUST821,PROD014,STORE002,1,300,300
848,2023-02-13,CUST848,PROD006,STORE004,3,25,75
861,2023-02-17,CUST861,PROD007,STORE002,3,30,90
900,2023-02-21,CUST900,PROD007,STORE001,2,30,60
920,2023-02-22,CUST920,PROD001,STORE001,3,25,75
932,2023-02-28,CUST932,PROD001,STORE003,4,25,100
933,2023-02-03,CUST933,PROD002,STORE004,1,30,30
936,2023-02-07,CUST936,PROD003,STORE002,4,50,200
945,2023-02-13,CUST945,PROD001,STORE001,1,25,25
966,2023-02-20,CUST966,PROD015,STORE002,2,500,1000
972,2023-02-11,CUST972,PROD001,STORE003,4,25,100
977,2023-02-08,CUST977,PROD011,STORE003,3,25,75
993,2023-02-06,CUST993,PROD013,STORE004,3,50,150
