transaction_id,transaction_date,customer_id,product_id,store_id,quantity,price_per_unit,total_amount
1,2023-11-24,CUST001,PROD003,STORE002,3,50,150
20,2023-11-05,CUST020,PROD009,STORE001,3,300,900
24,2023-11-29,CUST024,PROD009,STORE005,1,300,300
47,2023-11-06,CUST047,PROD005,STORE003,3,500,1500
57,2023-11-18,CUST057,PROD002,STORE003,1,30,30
58,2023-11-13,CUST058,PROD009,STORE004,4,300,1200
74,2023-11-22,CUST074,PROD005,STORE005,4,500,2000
84,2023-11-28,CUST084,PROD012,STORE005,3,30,90
86,2023-11-08,CUST086,PROD002,STORE002,3,30,90
87,2023-11-22,CUST087,PROD003,STORE003,2,50,100
95,2023-11-24,CUST095,PROD007,STORE001,2,30,60
115,2023-11-26,CUST115,PROD010,STORE001,3,500,1500
137,2023-11-18,CUST137,PROD005,STORE003,2,500,1000
141,2023-11-02,CUST141,PROD013,STORE002,1,50,50
145,2023-11-02,CUST145,PROD006,STORE001,3,25,75
156,2023-11-25,CUST156,PROD006,STORE002,4,25,100
169,2023-11-17,CUST169,PROD005,STORE005,3,500,1500
171,2023-11-24,CUST171,PROD009,STORE002,3,300,900
173,2023-11-08,CUST173,PROD012,STORE004,4,30,120
181,2023-11-03,CUST181,PROD014,STORE002,4,300,1200
205,2023-11-07,CUST205,PROD006,STORE001,1,25,25
215,2023-11-29,CUST215,PROD010,STORE001,3,500,1500
234,2023-11-20,CUST234,PROD011,STORE005,2,25,50
267,2023-11-27,CUST267,PROD002,STORE003,3,30,90
289,2023-11-30,CUST289,PROD012,STORE005,2,30,60
334,2023-11-01,CUST334,PROD014,STORE005,3,300,900
343,2023-11-01,CUST343,PROD011,STORE004,2,25,50
345,2023-11-14,CUST345,PROD012,STORE001,1,30,30
362,2023-11-27,CUST362,PROD006,STORE003,1,25,25
369,2023-11-15,CUST369,PROD015,STORE005,3,500,1500
388,2023-11-10,CUST388,PROD011,STORE004,1,25,25
405,2023-11-06,CUST405,PROD009,STORE001,4,300,1200
410,2023-11-21,CUST410,PROD008,STORE001,2,50,100
417,2023-11-21,CUST417,PROD014,STORE003,3,300,900
424,2023-11-23,CUST424,PROD004,STORE005,4,300,1200
458,2023-11-14,CUST458,PROD011,STORE004,4,25,100
493,2023-11-25,CUST493,PROD001,STORE004,2,25,50
507,2023-11-02,CUST507,PROD015,STORE003,3,500,1500
512,2023-11-07,CUST512,PROD001,STORE003,1,25,25
533,2023-11-16,CUST533,PROD015,STORE004,3,500,1500
554,2023-11-12,CUST554,PROD003,STORE005,3,50,150
565,2023-11-07,CUST565,PROD002,STORE001,2,30,60
581,2023-11-21,CUST581,PROD002,STORE002,2,30,60
582,2023-11-14,CUST582,PROD009,STORE003,3,300,900
595,2023-11-09,CUST595,PROD010,STORE001,4,500,2000
599,2023-11-19,CUST599,PROD003,STORE005,2,50,100
628,2023-11-01,CUST628,PROD003,STORE004,4,50,200
631,2023-11-10,CUST631,PROD012,STORE002,3,30,90
641,2023-11-23,CUST641,PROD014,STORE002,1,300,300
645,2023-11-17,CUST645,PROD012,STORE001,4,30,120
690,2023-11-05,CUST690,PROD009,STORE001,3,300,900
706,2023-11-15,CUST706,PROD011,STORE002,4,25,100
715,2023-11-26,CUST715,PROD001,STORE001,4,25,100
739,2023-11-29,CUST739,PROD001,STORE005,1,25,25
741,2023-11-30,CUST741,PROD009,STORE002,1,300,300
747,2023-11-15,CUST747,PROD002,STORE003,1,30,30
761,2023-11-07,CUST761,PROD010,STORE002,1,500,500
762,2023-11-07,CUST762,PROD011,STORE003,2,25,50
778,2023-11-18,CUST778,PROD001,STORE004,4,25,100
784,2023-11-04,CUST784,PROD015,STORE005,1,500,500
795,2023-11-28,CUST795,PROD014,STORE001,1,300,300
803,2023-11-22,CUST803,PROD006,STORE004,4,25,100
810,2023-11-30,CUST810,PROD011,STORE001,4,25,100
812,2023-11-12,CUST812,PROD011,STORE003,3,25,75
827,2023-11-09,CUST827,PROD004,STORE003,3,300,900
841,2023-11-02,CUST841,PROD011,STORE002,4,25,100
856,2023-11-27,CUST856,PROD012,STORE002,4,30,120
898,2023-11-02,CUST898,PROD007,STORE004,3,30,90
918,2023-11-23,CUST918,PROD012,STORE004,3,30,90
938,2023-11-19,CUST938,PROD008,STORE004,4,50,200
950,2023-11-07,CUST950,PROD009,STORE001,3,300,900
951,2023-11-02,CUST951,PROD003,STORE002,2,50,100
952,2023-11-13,CUST952,PROD006,STORE003,1,25,25
963,2023-11-14,CUST963,PROD003,STORE004,1,50,50
965,2023-11-09,CUST965,PROD008,STORE001,4,50,200
968,2023-11-17,CUST968,PROD009,STORE004,3,300,900
983,2023-11-01,CUST983,PROD009,STORE004,1,300,300
997,2023-11-17,CUST997,PROD002,STORE003,3,30,90
